session_key,subject,condition,trial,window_index,time_minutes,theta_power,alpha_power,beta_power,gamma_power,theta_alpha,beta_alpha,alpha_beta,beta_theta,dominant_frequency,dominant_band
a_concentrating_1,a,concentrating,1,0,0.0,25.588830978385115,14.253233227317148,27.33748696724222,19.38377106093719,1.7953000957945904,1.917984960412234,0.5213805220793124,1.068336689172483,1.0,other
a_concentrating_1,a,concentrating,1,1,0.041666666666666664,19.192432463487528,10.437429171814546,20.296966503086757,19.49877786384636,1.8388084026778526,1.944632741355229,0.5142359164965477,1.0575504976610204,1.5,other
a_concentrating_1,a,concentrating,1,2,0.08333333333333333,11.615265998797138,8.383983855592959,19.922272903161346,19.334667487836242,1.3854113031299065,2.376229874282402,0.42083470577609416,1.7151800832821624,1.0,other
a_concentrating_1,a,concentrating,1,3,0.125,21.417663184945976,11.890035244940556,24.117482829298304,19.907856352122185,1.8013120014980286,2.028377740895324,0.4930048185002272,1.1260557522563888,1.5,other
a_concentrating_1,a,concentrating,1,4,0.16666666666666666,43.286495086322915,18.67255026705188,27.52464313067389,24.631982252795048,2.3181887030558905,1.4740698371149505,0.6783939097195014,0.6358713745657536,1.5,other
a_concentrating_1,a,concentrating,1,5,0.20833333333333334,29.221484273687945,13.230286727738394,29.033952500822448,28.924945877333432,2.208681102309195,2.19450667232709,0.4556832807163826,0.9935824008421653,1.0,other
a_concentrating_1,a,concentrating,1,6,0.25,21.5238258189886,18.16662316958993,38.570078950246256,32.110414188727795,1.184800588312883,2.123128695420443,0.47100300709843224,1.7919713379309747,1.0,other
a_concentrating_1,a,concentrating,1,7,0.2916666666666667,44.96074464968537,22.042727458222025,43.56979275888113,44.84168160946189,2.0397087762800803,1.9766062453686701,0.5059176567629853,0.9690629703390828,1.0,other
a_concentrating_1,a,concentrating,1,8,0.3333333333333333,62.34475033741715,24.289802278547832,47.97929869335108,53.959248702950376,2.5667047274599897,1.9752856833966592,0.506255884100988,0.7695804126840103,2.0,other
a_concentrating_1,a,concentrating,1,9,0.375,71.30559785838756,18.129942756711724,62.63027690731844,58.437606888786604,3.9330293986719926,3.4545214923049135,0.28947569214073227,0.8783360463746724,1.5,other
a_concentrating_1,a,concentrating,1,10,0.4166666666666667,63.79694432404629,18.084053400781016,70.42229016375623,52.82139112581497,3.527801146688221,3.894165130076138,0.25679445185223776,1.1038505199568425,1.0,other
a_concentrating_1,a,concentrating,1,11,0.4583333333333333,33.746001555443925,12.803673225636825,72.95788806305164,54.31708092707894,2.6356500170493438,5.6981997882426345,0.17549402217580146,2.161971335868739,1.5,other
a_concentrating_1,a,concentrating,1,12,0.5,81.9145478887514,15.942633249203787,82.1844856833182,68.54097952300378,5.138081432867585,5.15501325274623,0.19398592224128042,1.0032953584134212,1.0,other
a_concentrating_1,a,concentrating,1,13,0.5416666666666666,58.94451800784556,11.33244171423781,100.8713891862936,83.4768247949438,5.201396088698967,8.901116964013253,0.11234545103080291,1.7112938165491072,1.0,other
a_concentrating_1,a,concentrating,1,14,0.5833333333333334,53.882410211429146,14.797239731284314,113.6701457574092,111.48617230086916,3.641382527412257,7.681847954188906,0.13017701026674197,2.1095965327345048,1.5,other
a_concentrating_1,a,concentrating,1,15,0.625,12.9701400150757,12.306392911393674,110.47813951375488,121.82542555556506,1.0539351464284474,8.977296622105287,0.11139210857059635,8.517883337060496,1.5,other
a_concentrating_1,a,concentrating,1,16,0.6666666666666666,52.44456121311663,16.197977540943945,114.21854788043619,125.06108357218889,3.237722800920762,7.051407966934374,0.14181564939785407,2.1778911909719554,1.0,other
a_concentrating_1,a,concentrating,1,17,0.7083333333333334,153.85385296804765,26.841353412619416,138.0707490606746,111.35143124103111,5.7319707617915245,5.143956302731026,0.19440289558235177,0.8974149583978837,1.0,other
a_concentrating_1,a,concentrating,1,18,0.75,116.54342241855694,29.200051042713845,157.51524551983766,123.65028701215634,3.9912061197453794,5.394348293755525,0.18537920533562802,1.3515584341957412,1.5,other
a_concentrating_1,a,concentrating,1,19,0.7916666666666666,49.568224725969685,23.548073444835218,168.854305918535,130.62685801405695,2.1049800461209895,7.17062082866782,0.1394579387048392,3.4065029936419973,1.0,other
a_concentrating_1,a,concentrating,1,20,0.8333333333333334,39.20846501489529,12.728509847743183,202.5268279605537,126.93423513339117,3.0803656896134712,15.911275583957107,0.0628485123473238,5.165385277990704,1.5,other
a_concentrating_1,a,concentrating,1,21,0.875,20.82233231102914,20.820068587789773,233.47418157858198,147.03151944011228,1.0001087279434178,11.213900693656036,0.08917503617324908,11.212681561849617,21.5,beta
a_concentrating_2,a,concentrating,2,0,0.0,23.085639642478448,10.05584620588328,21.903910675997913,29.144129293640336,2.29574311001017,2.178226499047171,0.4590890802390997,0.9488110797542681,1.0,other
a_concentrating_2,a,concentrating,2,1,0.041666666666666664,37.523184696972955,11.428205438238958,22.32852325975336,34.49539452904896,3.28338380857416,1.9538083542882214,0.5118209254276135,0.5950593863519967,1.5,other
a_concentrating_2,a,concentrating,2,2,0.08333333333333333,51.24089673696969,11.71779397987058,25.256478418443997,31.462458041087803,4.372913265499794,2.155395329686702,0.4639520120633069,0.49289688562811107,1.0,other
