session_key,subject,condition,trial,duration_sec,num_windows,theta_power_mean,theta_power_std,alpha_power_mean,alpha_power_std,beta_power_mean,beta_power_std,gamma_power_mean,gamma_power_std,theta_alpha_mean,theta_alpha_std,beta_alpha_mean,beta_alpha_std,alpha_beta_mean,alpha_beta_std,beta_theta_mean,beta_theta_std,dominant_freq_mean,dominant_freq_std
a_concentrating_1,a,concentrating,1,7.8125,6,60.87269616532762,51.96956524764887,13.477698578374685,5.708806642208539,61.32445158863721,9.182001591279745,56.433605342268756,6.4116590994462435,3.8009448571566575,1.947572848580269,5.289313054726297,2.004739076524513,0.22470300970356505,0.09605148638011478,2.015489785636609,1.3748820360468295,1.8333333333333333,0.8975274678557508
a_concentrating_2,a,concentrating,2,7.8125,6,157.70214568799517,96.70583475395257,21.08876177799347,4.191350882215802,80.38725487318622,9.346693075020179,71.23828284709323,10.570156180459831,8.140164278066024,6.142836463369898,3.9391739155472645,0.7871454534025873,0.2637319717323458,0.04969881897534187,0.7590930660994198,0.4982319372657648,1.3333333333333333,0.4714045207910317
a_neutral_1,a,neutral,1,7.8125,6,39.62810877844476,15.348064309328697,11.144780213811522,4.876191466290544,13.539974473939958,3.6330775577058723,6.195250952840799,1.6351743814913906,3.77829991993925,1.135635512414169,1.3304626946724167,0.29170612389409883,0.8062761063116953,0.25416623404246524,0.3705040380142482,0.10202294045044034,1.3333333333333333,0.4714045207910317
a_neutral_2,a,neutral,2,7.8125,6,16.233600105496965,10.219970383955781,7.210458604398823,0.9902322684024112,8.151988239920149,0.7560734517437809,3.7793570609159954,0.9399262584916954,2.1520531465352986,1.0048224423062628,1.1468161343721943,0.1541267442186395,0.8890826239361637,0.12829801542294234,0.6362023885026696,0.2340973672024502,2.5,0.9574271077563381
a_relaxed_1,a,relaxed,1,7.8125,6,5.261376193436942,1.1177182241776227,19.51313501562102,11.597919227098842,5.615001903817091,1.4100689994609337,1.675163372753561,0.2299852372929542,0.36563317887936647,0.17600522063847593,0.4128406347168128,0.27614518573033925,3.3334514881914625,1.6426860924323785,1.1026015450112265,0.2951900420310169,4.666666666666667,4.496912521077347
a_relaxed_2,a,relaxed,2,7.8125,6,21.200123544287468,8.748678564210405,12.448760241978007,1.9171798594579221,10.441006426906965,0.5421569268035143,3.077020412445799,0.24001978113914144,1.7663882442950662,0.8733708838812763,0.8588492085049818,0.13900650684458002,1.19656953957359,0.2024334720752956,0.5620208845396247,0.17160807956347734,1.5,0.7637626158259734
b_concentrating_1,b,concentrating,1,7.8125,6,280.64099370026565,31.184294027923247,214.06591623326895,122.20592957482026,932.7348086615225,393.7504500659431,953.8723977790472,675.9864041960844,3.0463059435781594,3.0481058152464597,6.194669911451661,3.300143084893823,0.2082475879003267,0.09217157190876954,3.386191545210137,1.419393593642561,1.0,0.0
b_concentrating_2,b,concentrating,2,7.8125,6,143.9994840685702,71.28892294056223,34.18183780833504,7.739411549877516,618.6984582115118,90.39312115952322,254.5309781170279,21.08474934043974,4.355972667796281,2.3794038218929146,18.81851013784107,4.012151781934341,0.05569165756634828,0.01210723404176036,5.651077263313454,2.8779312251848292,7.833333333333333,9.316949906249123
b_neutral_1,b,neutral,1,7.8125,6,52.4178867996203,21.75191479337413,13.960565914726502,4.326547447717786,14.815938131727131,1.820278325209004,7.599432491317132,2.136360335233644,3.698845092710736,0.6052096136674419,1.1353116290343361,0.24460546201541916,0.9228890027832435,0.19791155480927033,0.31774222087236204,0.09018297829754551,1.6666666666666667,0.4714045207910317
b_neutral_2,b,neutral,2,7.8125,6,28.8418904967932,12.396311335943432,7.8945029568898235,1.3267982666357918,10.719677400441633,1.464060577749992,3.8636369068189302,1.207924917021163,3.638591841476863,1.4256514548362276,1.3868262888085194,0.22462939568685086,0.7415404516396599,0.1274283100535817,0.47656483966968094,0.24694417252814202,1.8333333333333333,0.3726779962499649
