method,feature,importance
XGBoost,rel_delta_beta_power,0.016532205045223236
XGBoost,delta_theta_power,0.009029592387378216
XGBoost,rel_delta_theta_power,0.003064850578084588
XGBoost,delta_gamma_power,0.011470534838736057
XGBoost,rel_delta_gamma_power,0.015246779657900333
XGBoost,delta_alpha_beta_ratio,0.004739188589155674
XGBoost,rel_delta_alpha_beta_ratio,0.00879910308867693
XGBoost,delta_beta_theta_ratio,0.0020479513332247734
XGBoost,rel_delta_beta_theta_ratio,0.007692680694162846
XGBoost,delta_spectral_centroid,0.005704617127776146
XGBoost,rel_delta_spectral_centroid,0.009367844089865685
XGBoost,ma3_alpha_beta_ratio,0.0557728037238121
XGBoost,ma3_beta_theta_ratio,0.020574398338794708
XGBoost,ma3_alpha_power,0.005489678587764502
XGBoost,ma3_beta_power,0.0014334290754050016
XGBoost,ma5_alpha_beta_ratio,0.10490421950817108
XGBoost,std5_alpha_beta_ratio,0.017347097396850586
XGBoost,ma5_beta_theta_ratio,0.07620929926633835
XGBoost,std5_beta_theta_ratio,0.002887596609070897
XGBoost,trend_alpha_beta_ratio,0.012449268251657486
XGBoost,trend_strength_alpha_beta_ratio,0.004909879062324762
XGBoost,trend_beta_theta_ratio,0.006611931137740612
XGBoost,trend_strength_beta_theta_ratio,0.001671672915108502
