session_key,subject,condition,trial,window_index,time_point,theta_power,alpha_power,beta_power,gamma_power,theta_alpha,beta_alpha,alpha_beta,beta_theta,dominant_frequency,dominant_band
a_concentrating_1,a,concentrating,1,0,0.0,31.904608969454458,10.168352777099674,45.58045379317012,63.799719163226364,3.137637891685602,4.4825799018128745,0.2230858170750227,1.4286479372559917,1.0,other
a_concentrating_1,a,concentrating,1,1,1.0,138.74283712528853,18.991812075318734,52.85662478362185,61.40378250917813,7.305402800694049,2.783126990410407,0.3593080744952057,0.38096831432019,3.0,other
a_concentrating_1,a,concentrating,1,2,2.0,129.0416347609066,23.561769682837905,67.71920674442177,56.41122262207279,5.476737804414533,2.874113772266757,0.3479333384952676,0.5247857164076895,3.0,other
a_concentrating_1,a,concentrating,1,3,3.0,27.8401218167765,10.37692570500785,69.27217312240337,57.72347881651394,2.682887264321552,6.675596905254221,0.14979933842514087,2.4882137218472895,2.0,other
a_concentrating_1,a,concentrating,1,4,4.0,14.808593154975608,8.303983723875273,62.165461123565954,55.693819186041786,1.783311919602943,7.486221455953769,0.1335787360664709,4.1979315977546925,1.0,other
a_concentrating_1,a,concentrating,1,5,5.0,22.898381164564064,9.46334750610867,70.35278996464022,43.56960975657956,2.4196914622212664,7.434239302659752,0.1345127536642827,3.0723914262338026,1.0,other
a_concentrating_2,a,concentrating,2,0,0.0,349.17369661971645,16.69678230642595,78.77510970808552,57.61413320251986,20.91263395614453,4.717981480645407,0.21195504986662278,0.22560436387589397,1.0,other
a_concentrating_2,a,concentrating,2,1,1.0,146.7874816901919,24.364153538911992,76.59983932215616,58.59747853157574,6.024731434061832,3.143956517915492,0.31807055673372375,0.5218417704298992,1.0,other
a_concentrating_2,a,concentrating,2,2,2.0,180.02289262005303,26.677881499132084,85.36844663972862,69.84053603275535,6.748020551253657,3.1999709812979686,0.3125028338833189,0.4742088375388058,2.0,other
a_concentrating_2,a,concentrating,2,3,3.0,148.43590635423067,15.861168926715658,65.00359946450953,86.66252344228987,9.35844684840432,4.098285552902796,0.244004471404318,0.4379236874761524,2.0,other
a_concentrating_2,a,concentrating,2,4,4.0,59.33741586616261,24.3416890169455,80.51332692442517,75.09798036114022,2.437686876405938,3.307631071466557,0.30233117853636987,1.3568728221334325,1.0,other
a_concentrating_2,a,concentrating,2,5,5.0,62.4554809776164,18.590895379829618,96.06320718021236,79.61704551227838,3.359466002125864,5.167217889055366,0.19352773996972147,1.5381069151423352,1.0,other
a_neutral_1,a,neutral,1,0,0.0,63.834763030316786,15.841932931968575,20.933461328931045,9.05688682645103,4.0294807019098045,1.3213956541053087,0.756775608345012,0.327931997162568,1.0,other
a_neutral_1,a,neutral,1,1,1.0,51.95017576949793,19.376332766441607,14.246003012840013,5.371485493913763,2.6811149661649,0.7352270001015389,1.3601241519447662,0.2742243467288598,1.0,other
a_neutral_1,a,neutral,1,2,2.0,46.174962585248515,8.16896977650191,12.051246756365723,5.16391974624964,5.65248297503451,1.4752468286798177,0.6778526688275541,0.2609909371148192,2.0,other
a_neutral_1,a,neutral,1,3,3.0,28.205737900308606,6.102663246906184,10.028851786921848,3.9904654629035585,4.621873558992106,1.643356577475595,0.6085106626926503,0.35556069557081577,2.0,other
a_neutral_1,a,neutral,1,4,4.0,22.998853327727794,6.8858534632085595,10.459596846689166,7.310417673587695,3.3400149234385763,1.518997884949961,0.6583287639225002,0.454787753878099,1.0,other
a_neutral_1,a,neutral,1,5,5.0,24.60416005756893,10.492929097842296,13.520687111891966,6.278330513939109,2.3448323940955995,1.2885522227222788,0.7760647821376888,0.5495284976303275,1.0,other
a_neutral_2,a,neutral,2,0,0.0,8.34269259136096,7.034821762557527,7.311867745983966,3.3394324512031806,1.1859138543871157,1.0393820899487463,0.9621100937474416,0.8764397903808135,2.0,other
a_neutral_2,a,neutral,2,1,1.0,38.49823100762542,9.027378896471594,8.025870540269686,2.910374083119365,4.264607861166954,0.889058787972957,1.1247850125636658,0.2084737487984834,2.0,other
a_neutral_2,a,neutral,2,2,2.0,11.037705357615199,5.926908854368295,7.186294656904267,2.5467831852017984,1.8623038802899938,1.212486109282374,0.8247517166129542,0.6510678102080572,1.0,other
a_neutral_2,a,neutral,2,3,3.0,14.470937636296307,7.809899178539249,8.66943302849916,4.07954191543041,1.852896856346221,1.110056971327084,0.9008546640669174,0.5990926950548323,4.0,theta
a_neutral_2,a,neutral,2,4,4.0,14.882912372665814,6.524035274645115,8.35550842548555,5.239894023806911,2.2812433940243206,1.2807270460290483,0.7808064982312546,0.5614162212519241,3.0,other
a_neutral_2,a,neutral,2,5,5.0,10.169121667418079,6.9397076598111465,9.362955042378262,4.560116706734309,1.4653530329971876,1.349185801672957,0.7411877583947479,0.920724065321907,3.0,other
a_relaxed_1,a,relaxed,1,0,0.0,3.33018940290527,4.826204744166926,4.831181904424873,1.7215851083952312,0.6900224046504081,1.0010312783070305,0.9989697841322456,1.4507228628528248,1.0,other
a_relaxed_1,a,relaxed,1,1,1.0,5.1209827858760395,11.864862053967133,4.03311523916584,1.4253593521928138,0.431609129763442,0.33992095490206964,2.9418604107184194,0.7875666464432178,2.0,other
a_relaxed_1,a,relaxed,1,2,2.0,7.141388141104035,34.193853408321615,5.420138916359505,1.9069411550839503,0.20885005430145714,0.1585120826142522,6.308667348933611,0.7589755393860401,11.0,alpha
a_relaxed_1,a,relaxed,1,3,3.0,5.602906756031086,35.62526556392867,8.54086784795663,2.029758267190234,0.15727340322493333,0.2397418717519523,4.171152884943874,1.524363731158485,11.0,alpha
a_relaxed_1,a,relaxed,1,4,4.0,5.391625453043991,18.599297342909676,5.704056251534718,1.4848786191854861,0.289883287182317,0.30668127652194277,3.260714222077561,1.057947422574455,1.0,other
a_relaxed_1,a,relaxed,1,5,5.0,4.981164621661234,11.969326980432113,5.160651263460975,1.4824577344736505,0.4161607941536414,0.4311563442036293,2.3193442783430633,1.036033067652336,2.0,other
a_relaxed_2,a,relaxed,2,0,0.0,31.897531413066037,14.46278531824179,11.138060626716932,3.3305209253309034,2.2054902089180533,0.7701186446201749,1.29850122054012,0.34918252708905556,1.0,other
a_relaxed_2,a,relaxed,2,1,1.0,34.97816846600593,9.936045400002891,10.761309591373127,3.337209716446834,3.5203309825854614,1.0830576107643384,0.9233119180929602,0.30765789243172265,1.0,other
a_relaxed_2,a,relaxed,2,2,2.0,14.519236237280765,11.525347839810081,10.954787133308757,3.240391105535662,1.259765556674081,0.9504951421482889,1.052083230788346,0.7545016111233427,3.0,other
a_relaxed_2,a,relaxed,2,3,3.0,17.013074669501506,12.199957730494482,10.213328045982102,2.701928385540668,1.3945191487816688,0.8371609370787665,1.1945134510091366,0.6003222959040454,2.0,other
a_relaxed_2,a,relaxed,2,4,4.0,14.065219406126566,11.119393372324714,9.719224871738817,2.90706917738989,1.2649268656268406,0.8740786971283159,1.1440617455675146,0.6910112520182438,1.0,other
a_relaxed_2,a,relaxed,2,5,5.0,14.727511073743996,15.449031790994091,9.859328292322044,2.9450031644308385,0.9532967031842927,0.6381842192900058,1.5669456714434624,0.669449728671338,1.0,other
b_concentrating_1,b,concentrating,1,0,0.0,290.577535018935,304.86670763325503,1356.3576613442704,1837.2168023349514,0.9531297703010936,4.449018628088199,0.22476867003582607,4.667799461014375,1.0,other
b_concentrating_1,b,concentrating,1,1,1.0,309.1014011807955,296.67609045318306,1444.9052597344821,1834.3201126581587,1.0418817394709239,4.8703124593806635,0.20532563533452752,4.6745348103075965,1.0,other
b_concentrating_1,b,concentrating,1,2,2.0,300.4536089622869,43.29731770926861,490.9088315679547,175.6294438112294,6.939312291347072,11.338088767167818,0.08819828637219196,1.633892277957539,1.0,other
b_concentrating_1,b,concentrating,1,3,3.0,304.1329693684517,39.26555094230315,399.0797386816716,211.6679597683755,7.745541882637661,10.163609808202612,0.09839023918381273,1.3121883481109657,1.0,other
b_concentrating_1,b,concentrating,1,4,4.0,221.84519561893674,300.4917704841099,1014.5307709256872,840.0213145693925,0.7382737812138119,3.3762347943546622,0.2961879315005227,4.573147361137113,1.0,other
b_concentrating_1,b,concentrating,1,5,5.0,257.73525205218823,299.79806017749405,890.6265897150686,824.3787535321758,0.8596961964983938,2.970755011516009,0.33661476497507914,3.4555870127332353,1.0,other
b_concentrating_2,b,concentrating,2,0,0.0,119.19149166149477,40.69005941876332,681.2624529015011,278.3859325503816,2.9292533204444586,16.742724454891114,0.059727435800203135,5.715697013309427,21.0,beta
b_concentrating_2,b,concentrating,2,1,1.0,125.45587753059056,46.70822014142481,626.7105471703403,266.82345063819616,2.6859485793021185,13.417564301803061,0.07452917515480953,4.995465812413023,21.0,beta
b_concentrating_2,b,concentrating,2,2,2.0,254.85657370595055,32.36760543310631,490.4539795257446,230.18595157073653,7.873816128680237,15.152618581543177,0.06599519380881544,1.924431347380596,2.0,other
b_concentrating_2,b,concentrating,2,3,3.0,222.95646027571738,29.520184458628336,597.8182001614199,269.5268587500631,7.552678425440879,20.251167501993233,0.04937986908169983,2.681322619771289,1.0,other
b_concentrating_2,b,concentrating,2,4,4.0,82.68957297966926,33.20533600591312,769.953752281196,260.760967861269,2.4902495479926516,23.187651290265055,0.043126403251537306,9.311376568246436,1.0,other
b_concentrating_2,b,concentrating,2,5,5.0,58.846928257998826,22.599621392174328,545.9918172288684,221.50270733152107,2.6038900049173397,24.159334696550776,0.04139186830102444,9.278170218759955,1.0,other
b_neutral_1,b,neutral,1,0,0.0,50.42926249525309,16.720128912447752,15.790934234724057,5.16671496315509,3.016080962013975,0.9444265841137187,1.0588435531369897,0.3131303821111891,1.0,other
b_neutral_1,b,neutral,1,1,1.0,64.93100084115225,17.948137580326318,17.61694849723923,7.744153144991749,3.617701310264401,0.9815474401394093,1.0187994579843944,0.2713179878489395,2.0,other
b_neutral_1,b,neutral,1,2,2.0,93.4660433772649,19.646940175852357,15.947794611355004,11.847159449972864,4.757282433838835,0.811718998918524,1.2319534239463756,0.1706266151331941,2.0,other
b_neutral_1,b,neutral,1,3,3.0,31.777767966816448,8.103023217134119,12.142836750592167,7.915372414198561,3.921717501638311,1.4985563320262645,0.6673089150061217,0.38211735837684313,2.0,other
b_neutral_1,b,neutral,1,4,4.0,43.62117481871891,11.187770426031609,13.415226354675262,7.058596194523244,3.8990051777628127,1.1990973932983848,0.8339606153669278,0.3075393180130137,1.0,other
