session_key,subject,condition,trial,filename,duration_min,total_samples,num_windows,window_size_sec,theta_power_mean,theta_power_std,theta_power_min,theta_power_max,alpha_power_mean,alpha_power_std,alpha_power_min,alpha_power_max,beta_power_mean,beta_power_std,beta_power_min,beta_power_max,gamma_power_mean,gamma_power_std,gamma_power_min,gamma_power_max,theta_alpha_mean,theta_alpha_std,theta_alpha_min,theta_alpha_max,beta_alpha_mean,beta_alpha_std,beta_alpha_min,beta_alpha_max,alpha_beta_mean,alpha_beta_std,alpha_beta_min,alpha_beta_max,beta_theta_mean,beta_theta_std,beta_theta_min,beta_theta_max,dominant_freq_mean,dominant_freq_std,dominant_theta_percent,dominant_alpha_percent,dominant_beta_percent,dominant_gamma_percent
a_concentrating_1,a,concentrating,1,subjecta-concentrating-1.csv,0.9890625,15192,22,5,49.46147778655966,33.625866039082005,11.615265998797138,153.85385296804765,17.004503739395897,5.436131495083817,8.383983855592959,29.200051042713845,86.64665674683111,60.856826322774964,19.922272903161346,233.47418157858198,71.73428367840953,43.65680330639013,19.334667487836242,147.03151944011228,2.791661163839581,1.3415070752143743,1.0001087279434178,5.7319707617915245,5.166295151088739,3.6302202107166965,1.4740698371149505,15.911275583957107,0.30224789077590497,0.18245420923338046,0.0628485123473238,0.6783939097195014,2.3556751310336237,2.606896727159511,0.6358713745657536,11.212681561849617,2.1818181818181817,4.225317240767132,0.0,0.0,4.545454545454546,0.0
a_concentrating_2,a,concentrating,2,subjecta-concentrating-2.csv,0.871875,13392,19,5,164.01159768550426,130.2100062847769,23.085639642478448,502.14095349557135,29.722031241208818,17.91866410968747,10.05584620588328,71.63721262379401,159.48969785879748,149.63398597461233,21.903910675997913,488.7803288380368,108.43772610191368,79.85234630342326,29.144129293640336,280.08359037916273,5.138459726315193,2.1616306800354566,2.1891828087305547,9.966652052928179,4.9388856264452246,3.570902578936515,1.873397595879887,13.687074496262886,0.3030422401440166,0.15912756163502093,0.07306163199981411,0.5337895181456799,1.2106624887850554,1.3535133639018233,0.2885660918324142,5.762872283934623,0.9736842105263158,0.19692933614599692,0.0,0.0,0.0,0.0
a_neutral_1,a,neutral,1,subjecta-neutral-1.csv,0.98984375,15204,22,5,22.37577222259937,9.57438357790088,12.701743178226002,52.434647430175445,9.009839582404659,1.508031071961804,7.1730428937482245,13.661665992910537,10.393926585855143,1.322574755985376,8.197969093404897,12.94053915112586,4.6572504912920385,1.2877667427524777,2.6794156649768697,7.330732822987871,2.5145494734280605,1.0446631308562262,1.3650678234285007,4.652915868681984,1.171732758453289,0.17713073705956772,0.8899098506955826,1.5274676192224885,0.8723157279816292,0.1270423596787126,0.6546783626804605,1.123709327656467,0.5226216928421149,0.15409370528532781,0.24679367146233067,0.8497012849326596,1.4090909090909092,0.4430361065822256,0.0,0.0,0.0,0.0
a_neutral_2,a,neutral,2,subjecta-neutral-2.csv,0.990625,15216,22,5,21.059129974357663,7.169395264366865,10.704361612011471,38.562785476471035,9.206180838053934,1.7459037880598018,6.812171724718743,12.362152625732595,10.265989493691121,1.3020184956358605,7.968765890869218,13.167458496168978,4.980966796677378,1.6561951477075492,2.7426459701956274,9.465775224999115,2.2878210771221177,0.6035327793700629,1.2315541483865826,3.6923093115966763,1.1412879999380543,0.1803162090489561,0.8442873733049043,1.466931899211132,0.8991991066433578,0.14735982695125494,0.6816949038587049,1.1844308367251417,0.5382764152754956,0.18482754639876128,0.2706549653977234,1.1369977390582118,1.7045454545454546,0.6153175623036765,0.0,0.0,0.0,0.0
a_relaxed_1,a,relaxed,1,subjecta-relaxed-1.csv,0.98984375,15204,22,5,5.921688980077969,0.9940043412737762,3.744463153977472,7.689020571925893,13.395002244725237,6.464239024297404,6.497435271830401,32.381844295193766,5.298781875037138,0.7114070671847622,4.395438572071729,7.0074158873373,2.1538070102570805,0.7585576716686648,1.3495331519537046,4.198122336728172,0.5210640180097277,0.19419021884556692,0.22761797418355748,0.8950625970388305,0.49014952278418084,0.2286319437623091,0.18543625383124634,0.9048668687735961,2.5876254909899674,1.2443937416153634,1.105134948034225,5.3926887506584125,0.9227774049590081,0.20458962406116396,0.5889276740161777,1.2847591372950908,6.045454545454546,4.665904109283087,0.0,50.0,0.0,0.0
a_relaxed_2,a,relaxed,2,subjecta-relaxed-2.csv,0.98984375,15204,22,5,15.624308825115657,3.8309630783512847,9.370973318967472,28.017058209682986,17.02809787167604,6.613832252274158,8.691275426954109,38.01495751574318,10.10913649394647,1.2051777621949964,7.930280855225626,12.810490714932644,2.951280193036075,0.40133227442796554,2.5055720108563637,3.9054896060895974,1.0451393844979053,0.5128532332914161,0.3854064342639313,2.8592247575595344,0.6740587574083589,0.2646992282958221,0.2855596858691426,1.346594100863499,1.7091593277752644,0.6590616261931368,0.7426142735652513,3.5018948734179824,0.6712820272027908,0.11737053121386253,0.45723896559936494,0.8774271371870266,2.5681818181818183,3.191948160270031,0.0,13.636363636363635,0.0,0.0
b_concentrating_1,b,concentrating,1,subjectb-concentrating-1.csv,0.73984375,11364,16,5,298.7012408203411,130.03185914945044,132.89278156385598,564.3399973379012,92.06796251419749,89.11809940160009,15.96009536474082,360.47791536756495,504.6884245416212,298.33269723696776,149.26519427775236,1297.2162756291395,384.05977822065563,360.8699691759997,115.92019458540223,1506.0342342836057,6.47012955765422,5.610208801536176,0.9884690634695737,24.746807897273232,7.848808515118185,3.458052952479904,3.5986012466434176,16.25540127923068,0.1521727660818627,0.0617331685531403,0.061518013786450616,0.27788574822863366,1.7959856807092671,0.939401734567872,0.5334979369093069,3.640580549898198,1.4375,0.6091746465505602,0.0,0.0,0.0,0.0
b_concentrating_2,b,concentrating,2,subjectb-concentrating-2.csv,0.740625,11376,16,5,159.26732606711897,70.3866176737429,55.75463736476876,319.31555926039925,64.09475472098961,27.383295980059234,30.93086311306372,138.15458367016564,682.1481513354709,83.80839832881809,570.2620051262845,823.7634675857603,314.1408160272142,63.34937674225525,243.95033980162148,411.5943326391217,2.7052868085567567,1.2451052335437285,1.1167811897762057,5.203689616983814,12.204461561826644,4.285127916563944,5.0765471860340945,22.115349352580107,0.0936568095019748,0.03679945390692576,0.045217463403232835,0.19698428151146982,5.379704140022444,2.9536842763432594,1.815820481336917,12.435116330989782,1.0625,0.29973947020704494,0.0,0.0,0.0,0.0
b_neutral_1,b,neutral,1,subjectb-neutral-1.csv,0.990625,15216,22,5,39.80244215520962,22.464117651680883,14.303653841000083,104.89067728055134,13.70324890101186,4.129935229697308,6.914421957766818,21.060836297756452,14.416689831492484,2.6834762582908436,8.830803667650532,19.557552347619733,6.097148425738706,1.8294383001852212,2.900501882334768,9.504328529391524,2.7431813990098957,0.7449356073986151,1.3376760829210008,5.010318498898316,1.095777354668732,0.19357906061558477,0.7496980837788922,1.5106509610290753,0.9430055425932212,0.17557807086686736,0.6619662819522433,1.3338702894363126,0.43152668025606056,0.13768987498146532,0.18645653603045295,0.7302524439958532,1.5227272727272727,0.38368052309395756,0.0,0.0,0.0,0.0
b_neutral_2,b,neutral,2,subjectb-neutral-2.csv,0.98984375,15204,22,5,31.026746306935987,17.983427287446563,9.044920184537911,86.99520259029013,10.397420013192237,3.8435351859588676,5.599872178747814,21.962289974288296,12.913869544552908,5.30870305768182,7.386772878191314,27.540346424299223,6.182145376382536,3.839475927633773,2.425679286987118,13.989447140335411,2.8351317035775088,0.7451816388291262,1.615201185995721,4.558269726200155,1.2615063742091097,0.3172246148569471,0.7903746303258745,2.2621020427698295,0.8387396608396194,0.19420818481739877,0.44206670658214453,1.2652227964195866,0.4758513820204015,0.17459788190997078,0.22768139370766305,0.9659991883641862,1.4772727272727273,0.4879752398541793,0.0,0.0,0.0,0.0
