condition,num_sessions,total_duration_min,avg_duration_min,total_windows,theta_power_mean,theta_power_std,alpha_power_mean,alpha_power_std,beta_power_mean,beta_power_std,gamma_power_mean,gamma_power_std,alpha_beta_mean,alpha_beta_std,beta_theta_mean,beta_theta_std,theta_alpha_mean,theta_alpha_std
concentrating,7,6.0609375000000005,0.8658482142857143,133,139.439850751782,123.76996070997725,42.734534581614554,43.37613444755089,273.4413527622912,266.19236865795546,164.9615699437293,196.99762474172368,0.263731422864198,0.17866517940992824,2.3475295898233592,2.614933227395599,3.6811022801649886,2.7359694940277515
neutral,8,7.082031250000001,0.88525390625,156,33.89464300067077,27.300243395725847,13.035195204420035,9.238299401302617,23.39843645203825,58.61159371321643,9.418903679047416,19.19555464997706,0.8793868387056107,0.24595332879611134,0.613025771056864,0.6785952738707589,2.5866022642593935,0.9688099388632112
relaxed,8,7.617968750000001,0.95224609375,169,14.031677018802263,8.406077596848567,13.598698929853757,6.723879808949557,9.153856392311745,3.3571809246148336,3.1433955465750603,1.2441042172271763,1.660298305477937,1.1205391885444818,0.7622793539447017,0.24597806863753677,1.1467134854700718,0.6082802970828435
