condition,subject,trial,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma,avg_theta,avg_alpha,avg_beta,avg_gamma,alpha_beta_ratio,beta_theta_ratio,alpha_theta_ratio
concentrating,a,0,0.7403200541728082,11.82579019318916,25.175038177447124,18.124781655435754,0.29728021317213726,3.4963299344640273,7.434785542157882,6.325116361053462,1.021529736423401,16.32734529745054,295.08115505482795,1057.6958321135287,0.8311413036772783,9.681118315275281,15.731585494482436,11.709072178248439,0.7225678268614062,10.332645935094753,85.85564106722885,273.46370057706656,0.12034906275993938,118.82018251512406,14.299897602660117
neutral,a,0,1.1303260452850425,8.976457080326977,25.231803525475353,26.840669331606687,0.23522982297220535,3.631036216305205,8.725109164573079,4.425206440546829,1.0084616778311715,7.760920936035941,21.059499383011275,10.309097243649513,0.7914973515390101,7.861901897037323,19.008983103636645,25.813293125994218,0.7913787244068573,7.057579032426362,18.506348794174087,16.84706653544931,0.3813598841630031,23.384946073758424,8.918080325846587
relaxed,a,0,1.2299022828384685,34.20624397027367,11.493174909443196,4.893145462910325,0.12098973655703098,1.5556754776229704,3.8600086569337604,1.9602508720763678,0.1388766250851145,1.9255386033537611,3.742642491122459,2.0696148010525306,0.9380271951681555,35.61547397215486,13.093257745528158,4.777739834345867,0.6069489599121923,18.325733005851315,8.047270950756893,3.4251877425962727,2.27726059157082,13.258562881335354,30.193202750528663
concentrating,b,0,1.129660021444779,8.821525175816031,24.742867641696098,19.239759782167805,0.11827332182972282,1.4720411478686857,5.8866351190577575,6.976100419416056,34.50021565692718,456.32221499563366,4314.437565927074,11337.15940715743,0.6182817917120693,5.242895709920723,12.691309147400935,8.316027107333557,9.09160769797844,117.96466925730978,1089.439594458807,2842.9228236165873,0.10828013765729731,119.82914690666304,12.975116522409976
neutral,b,0,0.7885548613207247,6.260181395689611,20.18983422954862,24.619916895592915,0.3290815751384013,3.4394724818615243,7.444752226292728,5.919585554753769,2.114340173081537,18.38844728188706,38.234031891966275,20.151195236869835,1.1267777889610389,9.107486944535555,18.98966255077623,19.42473931075968,1.0896885996254255,9.298897025993437,21.214570224645964,17.52885924949405,0.4383259678383902,19.468470379462865,8.53353612141109
relaxed,b,0,0.24320239520611522,3.5406264849087674,9.19772219202716,4.679340354665164,0.38888124364127385,3.1695529313496125,9.31274396378065,2.9995894469278634,0.324953489486817,5.3012836508748356,13.712236765461983,5.59026689286528,0.2682305178319623,7.739393319969567,8.598807615570331,3.3351369454589115,0.30631691154154206,4.937714096775696,10.20537763421003,4.151083409979305,0.4838345305541366,33.316402881092635,16.119626147725942
concentrating,c,0,1.0701493870030392,14.910777353335046,19.534658093440736,13.291359075121955,52.70631807775466,347.3439009084427,2103.399019343855,1994.2832478748917,7.98865965330999,201.56445170316601,561.708100187328,1627.4101192654603,0.7435567237826486,10.238726495822155,22.954306384736253,17.52095898532973,15.627170960462584,143.5144641151915,676.89902100234,913.126421300201,0.21201753830678885,43.315519022280085,9.183649713584709
neutral,c,0,1.8955681582623745,25.243594024862936,17.05745554233196,4.449249810606068,0.3599517481374039,8.436052571979168,8.674727682902299,3.1950143813639977,1.3083893493164678,15.556045930076388,43.19240613755824,30.035416944769686,1.7664698751700663,23.250140554318662,17.004046672082467,5.34085626985678,1.332594782721578,18.12145827030929,21.48215900871874,10.755134351649133,0.843558520489236,16.120548637332504,13.598626157982975
relaxed,c,0,0.584691875834047,4.864074587348732,14.817454327360153,12.61314845534325,0.4121631524289357,3.550771525663621,6.475697429353318,2.3921482075428884,0.37133649076099123,5.220542280514554,12.319555947559202,4.411498902412868,0.4293155510244465,4.002915681847684,11.919302087502377,9.494271135777183,0.4493767675121051,4.409576018843648,11.383002447943763,7.227766675269047,0.38738250641773325,25.33064295015459,9.81264795520357
concentrating,d,0,1.1785739640627355,10.459494971185867,15.306840295416619,11.235970248131723,0.060177957290777295,0.7693510221971169,3.407217631342798,2.4082628230614773,4.06918384401178,46.44624901002314,1706.1949949834955,2668.962442204834,1.229930157168819,7.5704166298680615,9.985119659840203,5.146760066722928,1.634466480633528,16.311377908318544,433.72354314252374,671.9383588356876,0.037607776119634215,265.3609286465209,9.979634395436587
neutral,d,0,1.0843599265021893,14.610313617966234,18.639919607433267,9.503942775553046,0.670035913956255,5.348818041082527,16.28676117373806,13.8928530997237,3.5467564325382632,85.8041194274563,131.0902850586045,44.57648218418722,1.0516579671360533,7.869293984320198,18.51849654346221,13.209925989172453,1.5882025600331904,28.408136267706315,46.13386559580951,20.295801012159103,0.6157761960941491,29.04784739475889,17.88697297346797
relaxed,d,0,3.971703324218427,38.21080680110533,28.18570597042764,7.49790324083681,2.9153511435212653,14.894347719615972,3.440608393396287,1.4564465509388644,1.970211876327931,17.31985659579563,11.648333376718059,2.046733332882795,7.327302059561944,58.97496853765448,12.601497167547588,4.355995027763803,4.046142100907392,32.34999491354285,13.969036227022393,3.839269538105568,2.315835852080004,3.452433423900184,7.995269099987369
